chapter,question,context
124,deserts cover about __________ of the earths surface and occur where rainfall is less than __________ each year.,Deserts cover about one fifth of the Earths surface and occur where rainfall is less than 50 cm (about 20 inches) each year.
124,"moving from the poles to the equator, you will find, in order,","There are two main types of tundra, Arctic and Alpine tundras."
125,what is the layer of gas that surrounds the planet?,The atmosphere is the layer of gas that surrounds the planet.
125,"what can be found on, under, and over the surface of earth?","The hydrosphere is composed of all the areas that contain water, which can be found on, under, and over the surface of Earth."
125,"what ranges from 11,000 meters below sea level to 15,000 meters above sea level?","The biosphere includes the area from about 11,000 meters below sea level to 15,000 meters above sea level."
125,land is part of what component of the biosphere?,The lithosphere is the outermost layer of the Earths crust; essentially land is part of the lithosphere.
125,what ecosystems are scientists studying at biosphere 2?,"Ecosystems of Biosphere 2 are an ocean ecosystem with a coral reef, mangrove wetlands, a tropical rainforest, a savannah grassland and a fog desert."
126,in what type of organism can we readily observe evolution?,Some bacteria go through many generations in a few days.
126,how long is a bacterial generation?,And sometimes a bacterial generation is as fast as 20 minutes!
126,branches of an evolutionary tree depict,The separation into large branches shows where these original species evolved into new species.
127,what is growth towards a source of light?,"This is an example of a tropism where light is the stimulus, known as phototropism ."
127,what causes a vine to wrap around a neighboring tree?,Thigmotropism works much like the other tropisms.
127,what causes roots to grow down?,Gravitropism is a growth toward or away from the pull of gravity .
128,what type of archaea live in the guts of cows?,"Methanogens are named for their waste product, a gas called methane."
128,what type of archaea live in the dead sea?,"The halophiles, which means ""salt-loving,"" live in environments with high levels of salt ."
128,what type of archaea live in hot springs?,The thermophiles live in extremely hot environments.
128,methanogens help break down the tough carbohydrate __________.,"They help these animals break down cellulose, a tough carbohydrate made by plants ."
128,archaea that love extremely hot environments live in,"For example, they can grow in hot springs, geysers, and near volcanoes."
129,examples of cephalopods include,Cephalopods include the octopus and squid.
129,which type of mollusk uses its foot to crawl?,Gastropods include snails and slugs.
129,"which mollusks have three hearts that pump blue blood, are jet powered, and are found in all oceans of the world.",Cephalopods include the octopus and squid.
129,which statement is associated with gastropods?,"Most shelled gastropods have a one-piece shell that is typically coiled or spiraled, but not all gastropods have shells."
130,which are the most common seedless vascular plants?,Ferns are the most common seedless vascular plants .
130,the stem of a horsetail is unique in that it,"Whorls of tiny leaves around the stem make the plant look like a horses tail, but these soon fall off and leave a hollow stem that can perform photosynthesis."
130,the leaf of a fern is known as a,"In most ferns, fronds develop from a curled-up formation called a fiddlehead ."
130,which statement is associated with ferns?,"Ferns grow in a variety of habitats, ranging in size from tiny aquatic species to giant tropical plants."
130,why are clubmosses called by that name?,The club part of the name comes from club-like clusters of sporangia found on the plants.
131,"what are the two members of class agnatha, the jawless fish?","Examples Lampreys, hagfish Sharks, rays Tuna, bass, salmon, trout Frogs, toads, salamanders Turtles, snakes, lizards, alligators Ostriches, penguins, flamingos, parrots Class Mammalia Common Name Mammals Characteristics Nourish young with milk through mammary glands."
131,which two classes of vertebrates produce an amniotic egg?,"These include fish, amphibians, reptiles, birds, and mammals."
131,which of the following is a reptilian characteristic?,"Spend part of their lives under water and part on land Have lungs to breathe on land, skin that does not need to be kept wet, and produces a watertight (amniotic) egg."
131,one distinguishing feature of mammals is,"Examples Lampreys, hagfish Sharks, rays Tuna, bass, salmon, trout Frogs, toads, salamanders Turtles, snakes, lizards, alligators Ostriches, penguins, flamingos, parrots Class Mammalia Common Name Mammals Characteristics Nourish young with milk through mammary glands."
131,examples of amphibians include,"Examples Lampreys, hagfish Sharks, rays Tuna, bass, salmon, trout Frogs, toads, salamanders Turtles, snakes, lizards, alligators Ostriches, penguins, flamingos, parrots Class Mammalia Common Name Mammals Characteristics Nourish young with milk through mammary glands."
132,what is the main factor defining the differences of biomes?,"Obviously, the climate in the desert is much different than the climate in the rainforest."
133,Electricity is,Energy is what gives matter the ability to move and change.
133,Physical science includes,Physical science can be divided into chemistry and physics.
133,Which statement best describes how energy is related to matter?,Energy is what gives matter the ability to move and change.
134,The pressure of Earths atmosphere is,"If you were standing at sea level, the amount of force would be equal to 10.14 newtons per square centimeter (14.7 pounds per square inch)."
134,"The gas laws describe relationships among the gas properties of pressure, temperature, and","For a given amount of gas, scientists have discovered that the pressure, volume, and temperature of a gas are related in certain ways."
134,"If you increase the temperature of a gas in a sealed container, particles of the gas will","With more energy, the particles have a greater speed."
134,Which law states how the temperature and pressure of a gas are related?,Amontons law explains what happened.
134,"To decrease the pressure exerted by a gas, you could","According to Boyles law, if the temperature of a gas is held constant, increasing the volume of the gas decreases its pressure."
134,The pressure of a gas can be increased by,"According to Charless law, if the pressure of a gas is held constant, increasing the temperature of the gas increases its volume."
134,"If you put an inflated balloon inside a freezer, you can predict that it will shrink based on",Charless law explains why.
134,Increasing the volume of a gas decreases its,This decreases the pressure of the gas.
134,"At sea level, the pressure of Earths atmosphere is","If you were standing at sea level, the amount of force would be equal to 10.14 newtons per square centimeter (14.7 pounds per square inch)."
135,air pressure changes with altitude because of changes in,There are two reasons why air pressure decreases as altitude increases: density and depth of the atmosphere.
136,heating a gas causes its particles to have,This causes more collisions and greater pressure.
136,amontons developed his law in the,It was first proposed by a French scientist named Guillaume Amontons in the late 1600s.
137,the shape of an airplane wing causes,The shape of the wings causes air to flow more slowly below them than above them.
138,"for boyles law to apply to a gas, which variable must be held constant?","According to Boyles law, if the temperature of a gas is held constant, then decreasing the volume of the gas increases its pressureand vice versa."
139,"if you heat gas in a closed container that cannot expand, the gas will increase in",The two scientists already knew that the pressure of a gas affects it volume.
140,scientists may communicate about their research by,Scientists may present papers about their research at scientific conferences.
141,the study in alabama from the 1930s to 1970s that is described in the concept article violated ethical rules in science. what is one of the rules that it violated?,"Human subjects also must be fully informed about their role in the research, including any potential risks."
142,which type of scientist is most likely to do field studies?,Q: Why are field studies important for environmental scientists?
143,particles of gases are always,Particles of gas are constantly moving in all directions at random.
144,the person who introduced the idea of empiricism to science was,Aristotle introduced the idea of empiricism around 350 BCE.
144,contributions to science that occurred during the scientific revolution include,Other contributions to science that occurred during the scientific revolution include: Keplers laws of planetary motion The model on the left shows what people believed about the solar system before Copernicus introduced the model on the right.
144,einstein explained gravity as a property of,It also explains gravity as a property of space and time (rather than a property of matter as Newton thought).
145,"for a hypothesis to be a scientific hypothesis, it must be",A scientific hypothesis must meet two criteria: A scientific hypothesis must be testable.
146,observations that indicate a chemical change has occurred might include,"In other chemical changes, an odor is produced or gas bubbles are released."
147,the depth of water where oceanic pressure is double atmospheric pressure at the surface is,"At 30 meters below the surface, the pressure is double the pressure at the surface."
147,"without special equipment, humans cannot withstand the pressure of ocean water below","At a depth greater than 500 meters, the pressure is too great for humans to withstand without special equipment to protect them."
147,the depth of the water at the place described in question 6 is,"At nearly 11,000 meters below the surface, the pressure is tremendous."
148,the si unit for pressure is the,"The SI unit of pressure, the Pascal (Pa), is named for him because of his important research."
148,fluid pressure is used in,"For example, hydraulic brakes in a car use fluid to transmit pressure, and when they do, they also increase force."
149,a variable that is changed by the researcher is called a(n),A manipulated variable is also called an independent variable.
150,examples of scientific laws include the conservation of,Other examples of laws in physical science include: Newtons first law of motion Newtons second law of motion Newtons law of universal gravitation Law of conservation of mass Law of conservation of energy Law of conservation of momentum
151,the theory that all substances consist of tiny pieces of matter that cannot be broken into smaller pieces is known as,Does this mean that the rest of Daltons atomic theory should be thrown out?
151,one piece of evidence for the theory in question 3 is the observation that,"Dalton determined that a given compound always consists of the same elements in exactly the same proportions, no matter how small the sample of the compound."
151,the most parsimonious theory is based on the fewest,"A: The more assumptions that must be made to form a scientific theory, the more chances there are for the theory to be incorrect."
152,what gives matter the ability to change?,Energy is also universal.
152,forms that energy can take include,"Electricity, heat, and light are some of the forms that energy can take."
153,which sentence about the technological design process is true?,"Both processes rely on evidence and reason, and follow a logical sequence of steps to solve problems or answer questions."
154,scientific knowledge needed to create the first telescope included knowledge of,Lippershey used scientific knowledge of the properties of light and lenses to design his telescope.
154,what did galileo discover with his telescope?,He observed hills and valleys on the moon and spots on the sun.
155,which type of engineer develops and tests machines?,"Different types of engineers, such as electrical and mechanical engineers, must work together to build roller coasters and most other engineering projects."
156,the scientist who won the 1930 nobel prize for physics for discoveries about light was,C. V. Raman (1888-1970) C. V. Raman was an Indian scientist who won the 1930 Nobel prize for physics.
156,discoveries of marie curie include,She won the 1903 Nobel prize for physics for her discovery of radiation.
